,y,kcal,days,precipitation,amuse,curry,zeroRain,temperature,month,weather_快晴,weather_晴れ,weather_曇,weather_薄曇,weather_雨,weather_雪,weather_雷電
41,126,415.0,41,-1.0,0,0,1,5.1,1,1,0,0,0,0,0,0
42,120,445.0,42,-1.0,0,0,1,12.6,1,1,0,0,0,0,0,0
43,121,450.0,43,-1.0,0,0,1,10.3,1,1,0,0,0,0,0,0
44,105,448.0,44,-1.0,0,0,1,15.3,1,0,0,1,0,0,0,0
45,92,460.0,45,-1.0,0,0,1,14.1,1,1,0,0,0,0,0,0
46,139,445.0,46,-1.0,0,1,1,15.9,2,0,1,0,0,0,0,0
47,121,430.0,47,0.0,0,0,0,3.8,2,0,0,0,0,1,0,0
48,126,420.0,48,-1.0,0,0,1,3.0,2,1,0,0,0,0,0,0
49,111,435.0,49,-1.0,0,0,1,4.2,2,0,0,1,0,0,0,0
50,91,425.0,50,-1.0,0,0,1,5.5,2,0,1,0,0,0,0,0
51,137,423.0,51,-1.0,0,0,1,7.8,2,0,0,1,0,0,0,0
52,111,415.0,52,-1.0,0,0,1,6.3,2,0,0,1,0,0,0,0
53,84,438.0,53,-1.0,0,0,1,6.4,2,0,0,1,0,0,0,0
54,86,432.0,54,0.5,0,0,0,1.2,2,0,0,0,0,0,1,0
55,137,416.0,55,-1.0,0,0,1,11.6,2,0,1,0,0,0,0,0
56,99,426.0,56,-1.0,0,0,1,6.8,2,0,1,0,0,0,0,0
57,113,405.0,57,-1.0,0,0,1,7.3,2,0,0,0,1,0,0,0
58,85,426.0,58,-1.0,0,0,1,5.4,2,0,0,0,1,0,0,0
59,113,410.0,59,-1.0,0,1,1,8.5,2,1,0,0,0,0,0,0
60,129,408.0,60,-1.0,0,0,1,6.6,2,0,0,1,0,0,0,0
61,104,396.0,61,-1.0,0,0,1,10.5,2,1,0,0,0,0,0,0
62,104,384.0,62,-1.0,0,0,1,11.5,2,0,1,0,0,0,0,0
63,90,436.0,63,0.0,0,0,0,8.5,2,0,0,0,0,1,0,0
64,69,428.0,64,-1.0,0,0,1,17.7,2,0,1,0,0,0,0,0
65,131,407.0,65,-1.0,0,1,1,7.8,3,0,0,1,0,0,0,0
66,100,413.0,66,-1.0,0,0,1,8.3,3,0,1,0,0,0,0,0
67,110,393.0,67,1.5,0,0,0,6.1,3,0,0,0,0,1,0,0
68,77,409.0,68,-1.0,0,0,1,6.7,3,1,0,0,0,0,0,0
69,73,396.0,69,-1.0,0,0,1,7.0,3,1,0,0,0,0,0,0
70,123,385.0,70,-1.0,0,0,1,7.6,3,0,0,1,0,0,0,0
71,89,397.0,71,-1.0,0,0,1,8.7,3,1,0,0,0,0,0,0
72,68,370.0,72,-1.0,0,1,1,14.8,3,1,0,0,0,0,0,0
73,80,372.0,73,0.5,0,0,0,15.2,3,0,0,0,0,1,0,0
74,70,360.0,74,-1.0,0,0,1,11.5,3,0,0,1,0,0,0,0
75,129,382.0,75,-1.0,0,0,1,14.0,3,1,0,0,0,0,0,0
76,90,400.0,76,-1.0,0,0,1,18.9,3,0,1,0,0,0,0,0
77,72,392.0,77,-1.0,0,0,1,12.6,3,0,0,1,0,0,0,0
78,100,372.0,78,0.5,0,0,0,7.5,3,0,0,0,0,1,0,0
79,102,350.0,79,-1.0,0,0,1,17.4,3,1,0,0,0,0,0,0
80,77,407.0,80,-1.0,0,0,1,18.9,3,1,0,0,0,0,0,0
81,51,392.0,81,-1.0,0,0,1,18.7,3,0,0,1,0,0,0,0
82,55,315.0,82,1.5,0,0,0,12.4,3,0,0,1,0,0,0,0
83,106,-1.0,83,-1.0,1,1,1,18.5,3,1,0,0,0,0,0,0
84,84,349.0,84,-1.0,0,0,1,17.5,3,0,1,0,0,0,0,0
85,125,377.0,85,-1.0,0,0,1,16.1,4,0,0,0,1,0,0,0
86,99,380.0,86,-1.0,0,0,1,18.2,4,0,0,0,1,0,0,0
87,100,390.0,87,1.0,0,0,0,14.3,4,0,0,0,0,1,0,0
88,90,350.0,88,-1.0,0,0,1,17.8,4,0,1,0,0,0,0,0
89,107,387.0,89,-1.0,0,0,1,13.8,4,1,0,0,0,0,0,0
90,96,353.0,90,-1.0,0,0,1,20.1,4,1,0,0,0,0,0,0
91,88,376.0,91,-1.0,0,0,1,19.0,4,0,1,0,0,0,0,0
92,87,362.0,92,-1.0,0,0,1,21.3,4,0,1,0,0,0,0,0
93,128,-1.0,93,-1.0,1,1,1,16.5,4,1,0,0,0,0,0,0
94,92,340.0,94,-1.0,0,0,1,16.4,4,0,1,0,0,0,0,0
95,82,370.0,95,-1.0,0,0,1,19.7,4,1,0,0,0,0,0,0
96,57,330.0,96,-1.0,0,0,1,21.5,4,0,0,0,1,0,0,0
97,57,333.0,97,-1.0,0,0,1,20.1,4,1,0,0,0,0,0,0
98,56,325.0,98,0.0,0,0,0,11.4,4,0,0,1,0,0,0,0
99,109,375.0,99,-1.0,0,0,1,16.4,4,0,0,1,0,0,0,0
100,78,382.0,100,-1.0,0,0,1,18.8,4,0,0,1,0,0,0,0
101,63,340.0,101,-1.0,0,0,1,19.4,4,1,0,0,0,0,0,0
102,56,360.0,102,-1.0,0,0,1,19.9,4,0,1,0,0,0,0,0
103,80,-1.0,103,-1.0,1,0,1,20.8,4,0,1,0,0,0,0,0
104,54,342.0,104,-1.0,0,0,1,22.7,4,0,1,0,0,0,0,0
105,97,368.0,105,0.5,0,0,0,17.5,4,0,0,0,0,1,0,0
106,64,415.0,106,-1.0,0,0,1,24.0,5,0,1,0,0,0,0,0
107,47,420.0,107,-1.0,0,0,1,23.3,5,0,1,0,0,0,0,0
108,88,415.0,108,-1.0,0,0,1,18.9,5,0,1,0,0,0,0,0
109,59,405.0,109,-1.0,0,0,1,21.0,5,0,0,0,1,0,0,0
110,58,434.0,110,-1.0,0,0,1,23.4,5,0,1,0,0,0,0,0
111,73,400.0,111,-1.0,0,0,1,22.7,5,0,0,0,1,0,0,0
112,70,428.0,112,0.0,0,0,0,18.6,5,0,0,0,0,1,0,0
113,64,430.0,113,-1.0,0,0,1,26.0,5,0,0,0,1,0,0,0
114,58,403.0,114,-1.0,0,0,1,19.3,5,0,0,1,0,0,0,0
115,126,-1.0,115,-1.0,1,1,1,23.8,5,1,0,0,0,0,0,0
116,70,406.0,116,-1.0,0,0,1,22.8,5,0,0,1,0,0,0,0
117,71,425.0,117,-1.0,0,0,1,23.9,5,0,0,0,1,0,0,0
118,104,430.0,118,6.0,0,0,0,17.4,5,0,0,0,0,1,0,0
119,54,428.0,119,0.0,0,0,0,19.0,5,0,0,0,0,0,0,1
120,65,400.0,120,-1.0,0,0,1,19.8,5,0,0,0,1,0,0,0
121,77,430.0,121,-1.0,0,0,1,23.9,5,0,0,0,1,0,0,0
122,79,423.0,122,-1.0,0,0,1,23.7,5,0,0,1,0,0,0,0
123,74,414.0,123,-1.0,0,0,1,25.7,5,0,1,0,0,0,0,0
124,64,438.0,124,-1.0,0,0,1,26.0,5,1,0,0,0,0,0,0
125,119,-1.0,125,-1.0,1,1,1,26.9,5,0,0,0,1,0,0,0
126,74,420.0,126,-1.0,0,0,1,30.6,6,0,0,0,1,0,0,0
127,59,418.0,127,-1.0,0,0,1,27.0,6,0,0,0,1,0,0,0
128,47,424.0,128,-1.0,0,0,1,27.5,6,0,1,0,0,0,0,0
129,64,405.0,129,0.0,0,0,0,21.5,6,0,0,0,0,1,0,0
130,93,430.0,130,6.5,0,0,0,19.9,6,0,0,0,0,1,0,0
131,74,417.0,131,0.0,0,0,0,25.0,6,0,0,0,0,1,0,0
132,56,426.0,132,-1.0,0,0,1,25.5,6,0,0,1,0,0,0,0
133,50,413.0,133,2.5,0,0,0,22.3,6,0,0,0,0,1,0,0
134,72,440.0,134,0.5,0,0,0,21.3,6,0,0,0,0,1,0,0
135,121,-1.0,135,-1.0,1,1,1,29.5,6,0,1,0,0,0,0,0
136,76,440.0,136,-1.0,0,0,1,28.1,6,0,0,0,1,0,0,0
137,63,427.0,137,-1.0,0,0,1,27.6,6,0,0,0,1,0,0,0
138,66,426.0,138,0.0,0,0,0,21.9,6,0,0,0,0,1,0,0
139,56,430.0,139,-1.0,0,0,1,27.5,6,0,1,0,0,0,0,0
140,57,407.0,140,-1.0,0,0,1,26.5,6,0,0,0,1,0,0,0
141,72,421.0,141,-1.0,0,0,1,26.9,6,0,0,1,0,0,0,0
142,61,430.0,142,0.0,0,0,0,23.7,6,0,0,1,0,0,0,0
143,64,420.0,143,0.0,0,0,0,25.2,6,0,0,0,0,1,0,0
144,49,414.0,144,-1.0,0,0,1,25.2,6,0,0,1,0,0,0,0
145,74,-1.0,145,0.0,1,0,0,25.4,6,0,0,0,0,1,0,0
146,65,435.0,146,-1.0,0,0,1,25.5,6,0,0,0,1,0,0,0
147,54,362.0,147,-1.0,0,0,1,28.3,7,0,0,1,0,0,0,0
148,50,363.0,148,-1.0,0,0,1,28.8,7,1,0,0,0,0,0,0
149,53,412.0,149,-1.0,0,0,1,27.0,7,0,0,0,1,0,0,0
150,63,432.0,150,0.5,0,0,0,22.1,7,0,0,0,0,1,0,0
151,82,354.0,151,0.5,0,0,0,24.0,7,0,0,0,0,1,0,0
152,56,370.0,152,-1.0,0,0,1,29.7,7,0,1,0,0,0,0,0
153,54,388.0,153,0.0,0,0,0,24.6,7,0,0,0,0,1,0,0
154,48,386.0,154,-1.0,0,0,1,28.8,7,0,0,1,0,0,0,0
155,124,-1.0,155,-1.0,1,1,1,33.9,7,0,1,0,0,0,0,0
156,65,418.0,156,0.0,0,0,0,30.9,7,0,0,0,1,0,0,0
157,51,324.0,157,-1.0,0,0,1,30.3,7,0,1,0,0,0,0,0
158,53,434.0,158,-1.0,0,0,1,30.9,7,0,1,0,0,0,0,0
159,53,418.0,159,-1.0,0,0,1,30.1,7,0,1,0,0,0,0,0
160,55,401.0,160,-1.0,0,0,1,25.6,7,0,0,1,0,0,0,0
161,53,409.0,161,-1.0,0,0,1,30.2,7,0,1,0,0,0,0,0
162,56,355.0,162,-1.0,0,0,1,32.0,7,0,0,0,1,0,0,0
163,62,410.0,163,-1.0,0,0,1,32.5,7,0,0,1,0,0,0,0
164,83,-1.0,164,-1.0,1,0,1,33.6,7,0,1,0,0,0,0,0
165,65,432.0,165,-1.0,0,0,1,28.9,7,0,1,0,0,0,0,0
166,52,449.0,166,-1.0,0,0,1,30.4,7,0,1,0,0,0,0,0
167,58,441.0,167,-1.0,0,0,1,30.6,7,0,1,0,0,0,0,0
168,60,386.0,168,-1.0,0,0,1,32.5,7,0,1,0,0,0,0,0
169,38,380.0,169,-1.0,0,0,1,32.7,8,0,0,0,1,0,0,0
170,75,410.0,170,-1.0,0,0,1,32.7,8,0,0,1,0,0,0,0
171,54,400.0,171,-1.0,0,1,1,34.3,8,1,0,0,0,0,0,0
172,58,410.0,172,-1.0,0,0,1,34.6,8,1,0,0,0,0,0,0
173,63,415.0,173,-1.0,0,0,1,32.1,8,0,1,0,0,0,0,0
174,129,-1.0,174,-1.0,1,1,1,31.1,8,0,0,1,0,0,0,0
175,45,411.0,175,-1.0,0,0,1,32.4,8,0,1,0,0,0,0,0
176,40,400.0,176,0.0,0,0,0,29.4,8,0,0,0,0,1,0,0
177,56,396.0,177,-1.0,0,0,1,32.2,8,0,0,1,0,0,0,0
178,53,385.0,178,-1.0,0,0,1,33.3,8,0,1,0,0,0,0,0
179,56,423.0,179,-1.0,0,0,1,33.3,8,1,0,0,0,0,0,0
180,54,405.0,180,-1.0,0,0,1,33.0,8,0,0,0,1,0,0,0
181,100,-1.0,181,-1.0,1,0,1,33.1,8,0,1,0,0,0,0,0
182,55,412.0,182,0.0,0,0,0,26.0,8,0,0,1,0,0,0,0
183,68,400.0,183,0.0,0,1,0,26.2,8,0,0,0,0,1,0,0
184,62,410.0,184,0.0,0,0,0,21.0,8,0,0,1,0,0,0,0
185,56,396.0,185,0.0,0,0,0,21.6,8,0,0,0,0,1,0,0
186,39,398.0,186,0.0,0,0,0,25.1,8,0,0,1,0,0,0,0
187,65,380.0,187,-1.0,0,0,1,23.4,9,0,0,1,0,0,0,0
188,68,440.0,188,-1.0,0,0,1,29.1,9,0,1,0,0,0,0,0
189,53,408.0,189,-1.0,0,0,1,26.7,9,0,0,1,0,0,0,0
190,54,405.0,190,0.0,0,0,0,26.5,9,0,0,1,0,0,0,0
191,43,380.0,191,-1.0,0,0,1,30.2,9,0,1,0,0,0,0,0
192,68,385.0,192,-1.0,0,0,1,23.1,9,0,0,1,0,0,0,0
193,63,460.0,193,-1.0,0,0,1,26.8,9,0,1,0,0,0,0,0
194,54,450.0,194,0.0,0,0,0,25.0,9,0,0,1,0,0,0,0
195,53,385.0,195,-1.0,0,0,1,21.9,9,0,0,1,0,0,0,0
196,115,-1.0,196,-1.0,1,1,1,27.3,9,0,1,0,0,0,0,0
197,56,438.0,197,-1.0,0,0,1,28.8,9,0,1,0,0,0,0,0
198,49,430.0,198,-1.0,0,0,1,25.0,9,0,0,1,0,0,0,0
199,46,395.0,199,-1.0,0,0,1,24.1,9,0,0,1,0,0,0,0
200,45,400.0,200,-1.0,0,0,1,23.6,9,0,0,0,1,0,0,0
201,29,395.0,201,-1.0,0,0,1,25.2,9,0,1,0,0,0,0,0
202,59,408.0,202,0.0,0,0,0,24.8,9,0,0,1,0,0,0,0
203,50,394.0,203,0.0,0,0,0,25.4,9,0,0,1,0,0,0,0
204,45,-1.0,204,-1.0,0,0,1,27.1,9,0,1,0,0,0,0,0
205,56,404.0,205,-1.0,0,0,1,26.6,9,1,0,0,0,0,0,0
206,40,398.0,206,-1.0,0,0,1,28.1,9,1,0,0,0,0,0,0
